Sentences,File location,gloss_sequence,signer_id,sample_id
it does not make any difference to me,ISL_CSLRT_Corpus\Videos_Sentence_Level\it does not make any difference to me\difference (5).MP4,IT MAKE ANY DIFFERENCE  ME DO NOT ,6,ISL_0278_S6
tell me truth,ISL_CSLRT_Corpus\Videos_Sentence_Level\tell me truth\truth (4).MP4,TELL TRUTH,6,ISL_0341_S6
do me a favour,ISL_CSLRT_Corpus\Videos_Sentence_Level\do me a favour\favour.MP4,DO  FAVOUR ME,4,ISL_0046_S4
do not worry,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not worry\MVI_6633.MP4,DONOT WORRY,4,ISL_0065_S4
do not abuse him,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not abuse him\abuse (3).MP4, HIM ABUSE DONOT,5,ISL_0048_S5
what you want,ISL_CSLRT_Corpus\Videos_Sentence_Level\what you want\what you want (3).MP4,YOU WANT WHAT ,2,ISL_0409_S2
do not be stubborn,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not be stubborn\stubborn (4).MP4,STUBBORN  BE DONOT,3,ISL_0053_S3
i enjoyed a lot,ISL_CSLRT_Corpus\Videos_Sentence_Level\i enjoyed a lot\enjoy.MP4,I ENJOYED A LOT,0,ISL_0240_S0
i am suffering from fever,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am suffering from fever\fever (2).MP4,I FEVER SUFFERING  ,0,ISL_0204_S0
try to understand,ISL_CSLRT_Corpus\Videos_Sentence_Level\try to understand\understand.MP4,YOU TRY UNDERSTAND,6,ISL_0362_S6
pour some more water into the glass,ISL_CSLRT_Corpus\Videos_Sentence_Level\pour some more water into the glass\pour (4).MP4,WATER POUR  GLASS,6,ISL_0308_S6
are you free today,ISL_CSLRT_Corpus\Videos_Sentence_Level\are you free today\free (5).MP4,YOU FREE TODAY,2,ISL_0004_S2
how can i trust you,ISL_CSLRT_Corpus\Videos_Sentence_Level\how can i trust you\trust.MP4,I TRUST YOU HOW ,4,ISL_0133_S4
what do you think,ISL_CSLRT_Corpus\Videos_Sentence_Level\what do you think\what do you think (1).MP4, DO YOU THINK WHAT,1,ISL_0387_S1
you are good,ISL_CSLRT_Corpus\Videos_Sentence_Level\you are good\good (5).MP4,YOU GOOD,1,ISL_0451_S1
what happened,ISL_CSLRT_Corpus\Videos_Sentence_Level\what happened\happened (2).MP4,HAPPENED WHAT ,4,ISL_0398_S4
speak softly,ISL_CSLRT_Corpus\Videos_Sentence_Level\speak softly\softly.MP4,SPEAK SOFTLY,0,ISL_0333_S0
i am fine. thank you sir,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am fine. thank you sir\fine thank (5).MP4,I FINE THANK YOU ,2,ISL_0172_S2
comb your hair,ISL_CSLRT_Corpus\Videos_Sentence_Level\comb your hair\comb (4).MP4,COMB YOU HAIR,6,ISL_0029_S6
do not make me angry,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not make me angry\me angry (4).MP4,YOU ANGRY DONOT,5,ISL_0057_S5
do not be stubborn,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not be stubborn\stubborn (4).MP4,STUBBORN  BE DONOT,5,ISL_0053_S5
how can i trust you,ISL_CSLRT_Corpus\Videos_Sentence_Level\how can i trust you\trust (2).MP4,I TRUST YOU HOW ,4,ISL_0129_S4
where are you from,ISL_CSLRT_Corpus\Videos_Sentence_Level\where are you from\where are you from (5).MP4,YOU FROM WHERE ,5,ISL_0421_S5
take care of yourself,ISL_CSLRT_Corpus\Videos_Sentence_Level\take care of yourself\take care (5).MP4,TAKE CARE  YOURSELF,5,ISL_0337_S5
what are you doing,ISL_CSLRT_Corpus\Videos_Sentence_Level\what are you doing\what are you doing (5).MP4, YOU DO WHAT,3,ISL_0376_S3
how dare you,ISL_CSLRT_Corpus\Videos_Sentence_Level\how dare you\dare (3).MP4, DARE YOU HOW,0,ISL_0135_S0
i am crying,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am crying\i am crying (4).MP4,I CRY,6,ISL_0155_S6
why are you angry,ISL_CSLRT_Corpus\Videos_Sentence_Level\why are you angry\angry (3).MP4,YOU ANGRY WHY ,3,ISL_0428_S3
i am sitting in the class,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am sitting in the class\sitting (2).MP4,I SITTING CLASS,2,ISL_0194_S2
do not be stubborn,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not be stubborn\stubborn (4).MP4,STUBBORN  BE DONOT,0,ISL_0053_S0
now onwards he will never hurt you,ISL_CSLRT_Corpus\Videos_Sentence_Level\now onwards he will never hurt you\never hurt (2).MP4,NOW ONWARDS HE HURT YOU NEVER ,2,ISL_0301_S2
he is on the way,ISL_CSLRT_Corpus\Videos_Sentence_Level\he is on the way\way (4).MP4,HE ON THE WAY,3,ISL_0098_S3
it was nice chatting with you,ISL_CSLRT_Corpus\Videos_Sentence_Level\it was nice chatting with you\MVI_6853.MP4,YOU CHAT NICE,2,ISL_0284_S2
had your food,ISL_CSLRT_Corpus\Videos_Sentence_Level\had your food\food (2).MP4, FOOD HAD,0,ISL_0081_S0
i promise,ISL_CSLRT_Corpus\Videos_Sentence_Level\i promise\promise (4).MP4,I PROMISE,1,ISL_0257_S1
take care of yourself,ISL_CSLRT_Corpus\Videos_Sentence_Level\take care of yourself\take care (5).MP4,TAKE CARE  YOURSELF,1,ISL_0337_S1
how can i help you,ISL_CSLRT_Corpus\Videos_Sentence_Level\how can i help you\how can i help you (6).MP4, I HELP YOU HOW,2,ISL_0127_S2
do not worry,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not worry\MVI_6633.MP4,DONOT WORRY,2,ISL_0065_S2
i somehow got to know about it,ISL_CSLRT_Corpus\Videos_Sentence_Level\i somehow got to know about it\somehow.MP4,I SOMEHOW GOT KNOW ABOUT IT,2,ISL_0269_S2
why are you angry,ISL_CSLRT_Corpus\Videos_Sentence_Level\why are you angry\angry.MP4,YOU ANGRY WHY ,5,ISL_0431_S5
nice to meet you,ISL_CSLRT_Corpus\Videos_Sentence_Level\nice to meet you\nice to meet you (6).MP4,NICE MEET YOU,0,ISL_0299_S0
let him take time,ISL_CSLRT_Corpus\Videos_Sentence_Level\let him take time\time (5).MP4,LET HIM TAKE TIME,6,ISL_0288_S6
i got hurt,ISL_CSLRT_Corpus\Videos_Sentence_Level\i got hurt\got hurt (4).MP4,I GOT HURT,5,ISL_0247_S5
i am tired,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am tired\tired (2).MP4,I TIRED,4,ISL_0209_S4
comb your hair,ISL_CSLRT_Corpus\Videos_Sentence_Level\comb your hair\comb (5).MP4,COMB YOU HAIR,3,ISL_0030_S3
i promise,ISL_CSLRT_Corpus\Videos_Sentence_Level\i promise\promise.MP4,I PROMISE,3,ISL_0259_S3
can you repeat that please,ISL_CSLRT_Corpus\Videos_Sentence_Level\can you repeat that please\can you repeat that please (1).MP4,YOU REPEAT PLEASE,4,ISL_0022_S4
comb your hair,ISL_CSLRT_Corpus\Videos_Sentence_Level\comb your hair\comb.MP4,COMB YOU HAIR,0,ISL_0031_S0
my name is xxxxxxxx,ISL_CSLRT_Corpus\Videos_Sentence_Level\my name is xxxxxxxx\my name is xxxxxxxx (3).MP4,MY NAME XXXXXXXX,6,ISL_0292_S6
how old are you,ISL_CSLRT_Corpus\Videos_Sentence_Level\how old are you\how old are you (4).MP4,HOW OLD YOU,0,ISL_0140_S0
thank you so much,ISL_CSLRT_Corpus\Videos_Sentence_Level\thank you so much\thank you so much (5).MP4,THANK YOU SO MUCH,5,ISL_0346_S5
what are you doing,ISL_CSLRT_Corpus\Videos_Sentence_Level\what are you doing\what are you doing (3).MP4, YOU DO WHAT,1,ISL_0374_S1
that is so kind of you,ISL_CSLRT_Corpus\Videos_Sentence_Level\that is so kind of you\MVI_6106.MP4, YOU KIND THAT,3,ISL_0348_S3
i do not like it,ISL_CSLRT_Corpus\Videos_Sentence_Level\i do not like it\hate it.MP4,I  LIKE IT DO NOT,6,ISL_0231_S6
how dare you,ISL_CSLRT_Corpus\Videos_Sentence_Level\how dare you\dare (3).MP4, DARE YOU HOW,6,ISL_0135_S6
prepare the bed,ISL_CSLRT_Corpus\Videos_Sentence_Level\prepare the bed\bed (3).MP4,PREPARE BED,6,ISL_0312_S6
can you repeat that please,ISL_CSLRT_Corpus\Videos_Sentence_Level\can you repeat that please\can you repeat that please (4).MP4,YOU REPEAT PLEASE,5,ISL_0024_S5
i am (age),ISL_CSLRT_Corpus\Videos_Sentence_Level\i am (age)\i am (age) (1).MP4,I OLD,6,ISL_0144_S6
what do you want to become,ISL_CSLRT_Corpus\Videos_Sentence_Level\what do you want to become\become (3).MP4,WHAT DO YOU WANT BECOME,4,ISL_0393_S4
you can do it,ISL_CSLRT_Corpus\Videos_Sentence_Level\you can do it\can do (5).MP4,YOU DO IT,3,ISL_0461_S3
i got hurt,ISL_CSLRT_Corpus\Videos_Sentence_Level\i got hurt\got hurt (2).MP4,I GOT HURT,6,ISL_0245_S6
i am afraid of that,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am afraid of that\afraid.MP4,I AFRAID THAT,3,ISL_0153_S3
he would be coming today,ISL_CSLRT_Corpus\Videos_Sentence_Level\he would be coming today\today (5).MP4,HE COMING TODAY,1,ISL_0108_S1
This place is beautiful,ISL_CSLRT_Corpus\Videos_Sentence_Level\This place is beautiful\MVI_6502.MP4,THIS PLACE BEAUTIFUL,6,ISL_0357_S6
i promise,ISL_CSLRT_Corpus\Videos_Sentence_Level\i promise\promise (4).MP4,I PROMISE,0,ISL_0257_S0
do you need something,ISL_CSLRT_Corpus\Videos_Sentence_Level\do you need something\need something.MP4,DO YOU NEED SOMETHING,0,ISL_0071_S0
how can i help you,ISL_CSLRT_Corpus\Videos_Sentence_Level\how can i help you\how can i help you (7).MP4, I HELP YOU HOW,1,ISL_0128_S1
he is on the way,ISL_CSLRT_Corpus\Videos_Sentence_Level\he is on the way\way.MP4,HE ON THE WAY,6,ISL_0099_S6
we are all with you,ISL_CSLRT_Corpus\Videos_Sentence_Level\we are all with you\MVI_6957.MP4,WE ALL WITH YOU,4,ISL_0367_S4
how can i trust you,ISL_CSLRT_Corpus\Videos_Sentence_Level\how can i trust you\trust (3).MP4,I TRUST YOU HOW ,6,ISL_0130_S6
what is your phone number,ISL_CSLRT_Corpus\Videos_Sentence_Level\what is your phone number\what is your phone number (5).MP4, YOUR PHONE NUMBER WHAT,3,ISL_0406_S3
nice to meet you,ISL_CSLRT_Corpus\Videos_Sentence_Level\nice to meet you\nice to meet you (3).MP4,NICE MEET YOU,5,ISL_0296_S5
are you hiding something,ISL_CSLRT_Corpus\Videos_Sentence_Level\are you hiding something\MVI_6817.MP4,YOU HIDE SOMETHING,3,ISL_0009_S3
it was nice chatting with you,ISL_CSLRT_Corpus\Videos_Sentence_Level\it was nice chatting with you\MVI_6107.MP4,YOU CHAT NICE,0,ISL_0280_S0
speak softly,ISL_CSLRT_Corpus\Videos_Sentence_Level\speak softly\softly (2).MP4,SPEAK SOFTLY,6,ISL_0328_S6
i am sitting in the class,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am sitting in the class\sitting (3).MP4,I SITTING CLASS,1,ISL_0195_S1
i do not like it,ISL_CSLRT_Corpus\Videos_Sentence_Level\i do not like it\hate (4).MP4,I  LIKE IT DO NOT,2,ISL_0230_S2
i need water,ISL_CSLRT_Corpus\Videos_Sentence_Level\i need water\i need water 7.MP4,I WATER NEED ,3,ISL_0254_S3
thank you so much,ISL_CSLRT_Corpus\Videos_Sentence_Level\thank you so much\thank you so much (6).MP4,THANK YOU SO MUCH,0,ISL_0347_S0
had your food,ISL_CSLRT_Corpus\Videos_Sentence_Level\had your food\food (3).MP4, FOOD HAD,6,ISL_0082_S6
what do you do,ISL_CSLRT_Corpus\Videos_Sentence_Level\what do you do\what do you do (1).MP4,YOU DO WHAT ,3,ISL_0383_S3
tell me truth,ISL_CSLRT_Corpus\Videos_Sentence_Level\tell me truth\truth (4).MP4,TELL TRUTH,1,ISL_0341_S1
how old are you,ISL_CSLRT_Corpus\Videos_Sentence_Level\how old are you\how old are you (3).MP4,HOW OLD YOU,6,ISL_0139_S6
you are bad,ISL_CSLRT_Corpus\Videos_Sentence_Level\you are bad\bad.MP4,YOU BAD,5,ISL_0447_S5
what you want,ISL_CSLRT_Corpus\Videos_Sentence_Level\what you want\what you want (6).MP4,YOU WANT WHAT ,4,ISL_0412_S4
how can i help you,ISL_CSLRT_Corpus\Videos_Sentence_Level\how can i help you\how can i help you (6).MP4, I HELP YOU HOW,4,ISL_0127_S4
are you hiding something,ISL_CSLRT_Corpus\Videos_Sentence_Level\are you hiding something\MVI_6817.MP4,YOU HIDE SOMETHING,1,ISL_0009_S1
can you repeat that please,ISL_CSLRT_Corpus\Videos_Sentence_Level\can you repeat that please\can you repeat that please (6).MP4,YOU REPEAT PLEASE,4,ISL_0026_S4
what you want,ISL_CSLRT_Corpus\Videos_Sentence_Level\what you want\what you want (4).MP4,YOU WANT WHAT ,3,ISL_0410_S3
my name is xxxxxxxx,ISL_CSLRT_Corpus\Videos_Sentence_Level\my name is xxxxxxxx\my name is xxxxxxxx (1).MP4,MY NAME XXXXXXXX,0,ISL_0290_S0
wear the shirt,ISL_CSLRT_Corpus\Videos_Sentence_Level\wear the shirt\shirt.MP4, SHIRT WEAR,1,ISL_0372_S1
thank you so much,ISL_CSLRT_Corpus\Videos_Sentence_Level\thank you so much\thank you so much (4).MP4,THANK YOU SO MUCH,2,ISL_0345_S2
shall we go outside,ISL_CSLRT_Corpus\Videos_Sentence_Level\shall we go outside\outside (4).MP4,OUTSIDE GO ,0,ISL_0326_S0
can you repeat that please,ISL_CSLRT_Corpus\Videos_Sentence_Level\can you repeat that please\can you repeat that please (4).MP4,YOU REPEAT PLEASE,4,ISL_0024_S4
what are you doing,ISL_CSLRT_Corpus\Videos_Sentence_Level\what are you doing\what are you doing (3).MP4, YOU DO WHAT,4,ISL_0374_S4
how dare you,ISL_CSLRT_Corpus\Videos_Sentence_Level\how dare you\dare (3).MP4, DARE YOU HOW,1,ISL_0135_S1
He is going into the room,ISL_CSLRT_Corpus\Videos_Sentence_Level\He is going into the room\room (4).MP4,HE ROOM  GO  ,0,ISL_0094_S0
i am suffering from fever,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am suffering from fever\fever.MP4,I FEVER SUFFERING  ,1,ISL_0208_S1
bring water for me,ISL_CSLRT_Corpus\Videos_Sentence_Level\bring water for me\bring water for me (4).MP4,BRING WATER ME,3,ISL_0013_S3
can i help you,ISL_CSLRT_Corpus\Videos_Sentence_Level\can i help you\help (3).MP4,I HELP YOU,0,ISL_0018_S0
do not worry,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not worry\worry.MP4,DONOT WORRY,6,ISL_0069_S6
what do you want to become,ISL_CSLRT_Corpus\Videos_Sentence_Level\what do you want to become\become (2).MP4,WHAT DO YOU WANT BECOME,1,ISL_0392_S1
This place is beautiful,ISL_CSLRT_Corpus\Videos_Sentence_Level\This place is beautiful\beautiful (2).MP4,THIS PLACE BEAUTIFUL,6,ISL_0353_S6
could you please talk slower,ISL_CSLRT_Corpus\Videos_Sentence_Level\could you please talk slower\could you please talk slower (7).MP4,YOU PLEASE TALK SLOWER,1,ISL_0041_S1
he came by train,ISL_CSLRT_Corpus\Videos_Sentence_Level\he came by train\train (4).MP4,HE TRAIN CAME ,5,ISL_0088_S5
help me,ISL_CSLRT_Corpus\Videos_Sentence_Level\help me\help me (3).MP4,HELP ME,1,ISL_0111_S1
serve the food,ISL_CSLRT_Corpus\Videos_Sentence_Level\serve the food\serve 1.MP4,FOOD SERVE ,5,ISL_0320_S5
i am not really sure,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am not really sure\MVI_6546.MP4,I  REALLY NOT SURE,0,ISL_0184_S0
go and sleep,ISL_CSLRT_Corpus\Videos_Sentence_Level\go and sleep\sleep (3).MP4,GO SLEEP,3,ISL_0076_S3
it does not make any difference to me,ISL_CSLRT_Corpus\Videos_Sentence_Level\it does not make any difference to me\difference (3).MP4,IT MAKE ANY DIFFERENCE  ME DO NOT ,1,ISL_0276_S1
how are things,ISL_CSLRT_Corpus\Videos_Sentence_Level\how are things\things (2).MP4, THINGS HOW,3,ISL_0120_S3
serve the food,ISL_CSLRT_Corpus\Videos_Sentence_Level\serve the food\serve 1.MP4,FOOD SERVE ,3,ISL_0320_S3
i enjoyed a lot,ISL_CSLRT_Corpus\Videos_Sentence_Level\i enjoyed a lot\enjoyed (2).MP4,I ENJOYED A LOT,0,ISL_0241_S0
you are welcome,ISL_CSLRT_Corpus\Videos_Sentence_Level\you are welcome\welcome (4).MP4,YOU WELCOME,3,ISL_0455_S3
he she is my friend,ISL_CSLRT_Corpus\Videos_Sentence_Level\he she is my friend\friend.MP4,YOU MY FRIEND,0,ISL_0103_S0
you can do it,ISL_CSLRT_Corpus\Videos_Sentence_Level\you can do it\can do.MP4,YOU DO IT,1,ISL_0462_S1
can i help you,ISL_CSLRT_Corpus\Videos_Sentence_Level\can i help you\help (3).MP4,I HELP YOU,5,ISL_0018_S5
congratulations,ISL_CSLRT_Corpus\Videos_Sentence_Level\congratulations\congratulations (4).MP4,CONGRATULATIIONS,0,ISL_0033_S0
where are you from,ISL_CSLRT_Corpus\Videos_Sentence_Level\where are you from\where are you from (5).MP4,YOU FROM WHERE ,4,ISL_0421_S4
do you need something,ISL_CSLRT_Corpus\Videos_Sentence_Level\do you need something\something.MP4,DO YOU NEED SOMETHING,4,ISL_0074_S4
take care of yourself,ISL_CSLRT_Corpus\Videos_Sentence_Level\take care of yourself\take care (5).MP4,TAKE CARE  YOURSELF,2,ISL_0337_S2
i am fine. thank you sir,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am fine. thank you sir\fine thank (4).MP4,I FINE THANK YOU ,0,ISL_0171_S0
prepare the bed,ISL_CSLRT_Corpus\Videos_Sentence_Level\prepare the bed\bed.MP4,PREPARE BED,0,ISL_0315_S0
i am very happy,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am very happy\very happy (4).MP4,I VERY HAPPY,4,ISL_0216_S4
he came by train,ISL_CSLRT_Corpus\Videos_Sentence_Level\he came by train\train (3).MP4,HE TRAIN CAME ,1,ISL_0087_S1
i am not really sure,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am not really sure\really sure (2).MP4,I  REALLY NOT SURE,0,ISL_0185_S0
This place is beautiful,ISL_CSLRT_Corpus\Videos_Sentence_Level\This place is beautiful\beautiful.MP4,THIS PLACE BEAUTIFUL,6,ISL_0356_S6
serve the food,ISL_CSLRT_Corpus\Videos_Sentence_Level\serve the food\serve (5).MP4,FOOD SERVE ,1,ISL_0319_S1
i need water,ISL_CSLRT_Corpus\Videos_Sentence_Level\i need water\i need water 4.MP4,I WATER NEED ,2,ISL_0251_S2
i do not agree,ISL_CSLRT_Corpus\Videos_Sentence_Level\i do not agree\agree (2).MP4,I AGREE DONOT ,1,ISL_0223_S1
do not make me angry,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not make me angry\me angry (5).MP4,YOU ANGRY DONOT,2,ISL_0058_S2
you are bad,ISL_CSLRT_Corpus\Videos_Sentence_Level\you are bad\bad (4).MP4,YOU BAD,2,ISL_0444_S2
i promise,ISL_CSLRT_Corpus\Videos_Sentence_Level\i promise\promise (5).MP4,I PROMISE,0,ISL_0258_S0
go and sleep,ISL_CSLRT_Corpus\Videos_Sentence_Level\go and sleep\sleep (4).MP4,GO SLEEP,0,ISL_0077_S0
do not make me angry,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not make me angry\me angry (4).MP4,YOU ANGRY DONOT,1,ISL_0057_S1
speak softly,ISL_CSLRT_Corpus\Videos_Sentence_Level\speak softly\softly (3).MP4,SPEAK SOFTLY,4,ISL_0329_S4
take care of yourself,ISL_CSLRT_Corpus\Videos_Sentence_Level\take care of yourself\take care (3).MP4,TAKE CARE  YOURSELF,1,ISL_0335_S1
do not abuse him,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not abuse him\abuse (4).MP4, HIM ABUSE DONOT,6,ISL_0049_S6
you can do it,ISL_CSLRT_Corpus\Videos_Sentence_Level\you can do it\can do (2).MP4,YOU DO IT,5,ISL_0458_S5
pour some more water into the glass,ISL_CSLRT_Corpus\Videos_Sentence_Level\pour some more water into the glass\pour.MP4,WATER POUR  GLASS,0,ISL_0310_S0
i am so sorry to hear that,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am so sorry to hear that\sorry hear.MP4,I SORRY  HEAR THAT,4,ISL_0203_S4
i am very happy,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am very happy\very happy (2).MP4,I VERY HAPPY,6,ISL_0214_S6
i am sitting in the class,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am sitting in the class\sitting (5).MP4,I SITTING CLASS,4,ISL_0197_S4
can i help you,ISL_CSLRT_Corpus\Videos_Sentence_Level\can i help you\help (4).MP4,I HELP YOU,6,ISL_0019_S6
go and sleep,ISL_CSLRT_Corpus\Videos_Sentence_Level\go and sleep\sleep (5).MP4,GO SLEEP,6,ISL_0078_S6
try to understand,ISL_CSLRT_Corpus\Videos_Sentence_Level\try to understand\understand (2).MP4,YOU TRY UNDERSTAND,5,ISL_0358_S5
he is on the way,ISL_CSLRT_Corpus\Videos_Sentence_Level\he is on the way\way (3).MP4,HE ON THE WAY,3,ISL_0097_S3
why are you angry,ISL_CSLRT_Corpus\Videos_Sentence_Level\why are you angry\angry (5).MP4,YOU ANGRY WHY ,6,ISL_0430_S6
what are you doing,ISL_CSLRT_Corpus\Videos_Sentence_Level\what are you doing\what are you doing (4).MP4, YOU DO WHAT,4,ISL_0375_S4
"you do anything, i do not care","ISL_CSLRT_Corpus\Videos_Sentence_Level\you do anything, i do not care\donotcare.MP4","YOU DO ANYTHING, I DONOT CARE",0,ISL_0464_S0
i am really grateful,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am really grateful\MVI_6849.MP4,I REALLY GRATEFUL,0,ISL_0193_S0
how can i help you,ISL_CSLRT_Corpus\Videos_Sentence_Level\how can i help you\how can i help you (4).MP4, I HELP YOU HOW,4,ISL_0125_S4
i somehow got to know about it,ISL_CSLRT_Corpus\Videos_Sentence_Level\i somehow got to know about it\somehow (3).MP4,I SOMEHOW GOT KNOW ABOUT IT,1,ISL_0266_S1
i got hurt,ISL_CSLRT_Corpus\Videos_Sentence_Level\i got hurt\got hurt (4).MP4,I GOT HURT,2,ISL_0247_S2
i need water,ISL_CSLRT_Corpus\Videos_Sentence_Level\i need water\i need water 7.MP4,I WATER NEED ,2,ISL_0254_S2
you can do it,ISL_CSLRT_Corpus\Videos_Sentence_Level\you can do it\can do (2).MP4,YOU DO IT,0,ISL_0458_S0
do you need something,ISL_CSLRT_Corpus\Videos_Sentence_Level\do you need something\something.MP4,DO YOU NEED SOMETHING,1,ISL_0074_S1
how old are you,ISL_CSLRT_Corpus\Videos_Sentence_Level\how old are you\how old are you (6).MP4,HOW OLD YOU,4,ISL_0142_S4
i really appreciate it,ISL_CSLRT_Corpus\Videos_Sentence_Level\i really appreciate it\i really appreciate it (6).MP4,I REALLY APPRECIATE IT,3,ISL_0263_S3
you can do it,ISL_CSLRT_Corpus\Videos_Sentence_Level\you can do it\can do.MP4,YOU DO IT,0,ISL_0462_S0
i enjoyed a lot,ISL_CSLRT_Corpus\Videos_Sentence_Level\i enjoyed a lot\enjoy.MP4,I ENJOYED A LOT,3,ISL_0240_S3
what happened,ISL_CSLRT_Corpus\Videos_Sentence_Level\what happened\happened (3).MP4,HAPPENED WHAT ,2,ISL_0399_S2
my name is xxxxxxxx,ISL_CSLRT_Corpus\Videos_Sentence_Level\my name is xxxxxxxx\my name is xxxxxxxx (4).MP4,MY NAME XXXXXXXX,5,ISL_0293_S5
we are all with you,ISL_CSLRT_Corpus\Videos_Sentence_Level\we are all with you\MVI_6957.MP4,WE ALL WITH YOU,6,ISL_0367_S6
i am not really sure,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am not really sure\really sure.MP4,I  REALLY NOT SURE,6,ISL_0188_S6
how dare you,ISL_CSLRT_Corpus\Videos_Sentence_Level\how dare you\dare (5).MP4, DARE YOU HOW,2,ISL_0137_S2
